Time,Emotion
21:30:34,fear
21:30:34,fear
21:30:34,angry
21:30:34,disgust
21:30:34,disgust
21:30:35,happy
21:30:35,happy
21:30:35,happy
21:30:35,happy
21:30:36,happy
21:30:38,neutral
21:30:38,neutral
21:30:38,angry
21:30:39,angry
21:30:39,fear
21:30:39,fear
21:30:39,neutral
21:30:39,neutral
21:30:39,neutral
21:30:39,neutral
21:30:39,fear
21:30:39,fear
21:30:39,happy
21:30:39,happy
21:30:39,happy
21:30:39,happy
21:30:39,happy
21:30:39,happy
21:30:40,sad
21:30:40,happy
21:30:40,happy
21:30:40,neutral
21:30:40,neutral
21:30:40,neutral
21:30:40,neutral
21:30:40,neutral
21:30:40,fear
21:30:40,neutral
21:30:40,neutral
21:30:40,neutral
21:30:40,neutral
21:30:40,neutral
21:30:40,happy
21:30:40,happy
21:30:40,happy
21:30:40,sad
21:30:41,sad
21:30:41,fear
21:30:41,fear
21:30:41,disgust
21:30:41,disgust
21:30:41,fear
21:30:41,fear
21:30:41,neutral
21:30:41,neutral
21:30:43,neutral
21:30:43,neutral
21:30:43,neutral
21:30:44,angry
21:30:44,angry
21:30:44,neutral
21:30:44,neutral
21:30:44,angry
21:30:44,angry
21:30:45,angry
21:30:45,angry
21:30:45,neutral
21:30:45,neutral
21:30:45,neutral
